#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
# Updated 2025 Apr  7 2348:35																											
S06117	1972-057A	Cosmos 504	1972 Jul 20	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.254	-	1425	1540	74.0	1972 Jul 22	1323	1495	74.02	-
S06118	1972-057B	Cosmos 505	1972 Jul 20	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.254	-	1425	1540	74.0	1972 Jul 29	1353	1497	74.02	-
S06119	1972-057C	Cosmos 506	1972 Jul 20	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.254	-	1425	1540	74.0	1972 Jul 23	1384	1496	74.02	-
S06120	1972-057D	Cosmos 507	1972 Jul 20	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.254	-	1425	1540	74.0	1972 Jul 24	1413	1496	74.01	-
S06121	1972-057E	Cosmos 508	1972 Jul 20	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.254	-	1425	1540	74.0	1972 Jul 22	1445	1494	74.02	-
S06122	1972-057F	Cosmos 509	1972 Jul 20	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.254	-	1425	1540	74.0	1972 Jul 26	1473	1499	74.03	-
S06123	1972-057G	Cosmos 510	1972 Jul 20	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.254	-	1425	1540	74.0	1972 Jul 29	1496	1510	74.02	-
S06124	1972-057H	Cosmos 511	1972 Jul 20	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.254	-	1425	1540	74.0	1972 Jul 25	1494	1547	74.04	-
S06126	1972-058A	[ERTS 1]	1972 Jul 23	1978 Jan 26	1978 Jan 26	1978 Jan 26	-	Landsat	-	-	-	C	IMG	U	-	-	US	A/AC.105/INF.260	103.1	898	916	99.1	1975 Jan 16	903	916	98.99	-
S06128	1972-055D	KBE	1972 Jul 13	1972 Jul 25	1972 Jul 25	1972 Jul 25 0644?	-	Cap B	-	-	-	D	TECH	U	-	-	[SU]	-	-	-	-	-	1972 Jul 25	149	250	65.41	-
S06130	1972-059A	Cosmos 512	1972 Jul 28	1972 Aug  9	1972 Aug  9	1972 Aug  9 0326?	-	Zenit-2M	-	-	D	D	IMG	U	-	-	SU	A/AC.105/INF.254	-	207	294	65.4	1972 Aug  7	197	258	65.40	-
S06135	1972-060A	Cosmos 513	1972 Aug  2	1972 Aug 15	1972 Aug 15	1972 Aug 15 0506?	-	Zenit-4M	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.261	-	209	340	65.0	1972 Aug 15	169	365	65.04	-
S06142	1972-061A	[Explorer 46]	1972 Aug 13	1975 Jun  5	1975 Jun  5	1975 Jun  5	-	Explorer MTS	-	-	-	C	SCI	U	-	MM*	US	A/AC.105/INF.262	97.7	491	811	37.6	1972 Aug 13	496	809	37.69	Micrometeors
S06148	1972-062A	Cosmos 514	1972 Aug 16	1972 Aug	1972 Aug	1972 Aug	-	Zaliv	A	-	-	D	NAV	U	-	-	SU	A/AC.105/INF.261	-	959	999	83.0	1972 Aug 21	955	973	82.97	-
S06150	1972-063A	Cosmos 515	1972 Aug 18	1972 Aug 31	1972 Aug 31	1972 Aug 31 0427?	-	Zenit-4MK	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.261	-	205	300	72.9	1972 Aug 31	-138	216	72.85	-
S06152	1972-064A	Denpa	1972 Aug 19	1973 May	1973 May	1973 May	-	Mu Early	-	-	-	C	SCI	U	-	P/F*	J	A/AC.105/INF.256	160.0	240	6570	31.0	1972 Aug 21	239	6324	31.01	Ionosphere/magnetosphere
S06153	1972-065A	[Copernicus]	1972 Aug 21	1981 Feb 15	1981 Feb 15	1981 Feb 15	-	OAO	-	-	-	C	AST	U	-	UVA*	US	A/AC.105/INF.262	99.6	735	744	35.0	1972 Aug 25	736	747	35.01	0.8-meter UV telescope
S06154	1972-066A	Cosmos 516	1972 Aug 21	1972 Sep 22	1972 Sep 22	1972 Sep 22	-	US-A	-	-	M	D	SIG	U	-	-	SU	A/AC.105/INF.261	-	256	277	65.0	1972 Sep 24	920	1028	64.82	-
S06168	1972-067A	Cosmos 517	1972 Aug 30	1972 Sep 11	1972 Sep 11	1972 Sep 11 0458?	-	Zenit-2M	-	-	D	D	IMG	U	-	-	SU	A/AC.105/INF.261	-	207	305	65.0	1972 Sep 11	198	271	64.97	-
S06172	1972-068A	-	1972 Sep  1	1972 Sep 30	1972 Sep 30	1972 Sep 30	-	KH8C	-	-	M	D	IMG	U	-	-	US	A/AC.105/INF.265	-	-	-	-	1972 Sep 28	142	368	110.39	-
S06173	1972-069A	[Triad OI-1X]	1972 Sep  2	1980?	1972 Oct  1	1985?	-	NNS I	-	-	-	D	NAV	U	-	-	US	A/AC.105/INF.265	100.6	743	838	90.1	1972 Sep  6	740	838	90.13	-
S06186	1972-070A	Cosmos 518	1972 Sep 15	1972 Sep 24	1972 Sep 24	1972 Sep 24 0553?	-	Zenit-2M	-	-	D	D	IMG	U	-	-	SU	A/AC.105/INF.261	-	208	330	72.9	1972 Sep 22	201	297	72.82	-
S06188	1972-071A	Cosmos 519	1972 Sep 16	1972 Sep 26	1972 Sep 26	1972 Sep 26 0558?	-	Zenit-4M	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.261	-	210	343	71.3	1972 Sep 26	-129	247	71.32	-
S06192	1972-072A	Cosmos 520	1972 Sep 19	1972 Dec 12	1972 Dec 12	1972 Dec 12	-	Oko A	-	-	M	D	EW	U	-	-	SU	A/AC.105/INF.263	-	652	39319	62.8	1972 Dec 26	742	39477	62.88	-
S06197	1972-073A	[Explorer 47]	1972 Sep 23	1978 Oct 31	1978 Oct 31	1978 Oct 31	-	IMP	-	-	-	C	SCI	U	-	P/F*	US	A/AC.105/INF.265	17702.1	201599	235639	17.2	2024 Mar 19	138431	301388	25.03	Magnetosphere
S06198	1972-070C	Kapsula Kosmosa-518	1972 Sep 15	1972 Sep 23	1972 Sep 23	1972 Sep 23	-	Nauka 5KS	-	-	-	C	SCI?	U	-	P	-	-	-	-	-	-	1972 Sep 25	179	234	72.80	Unknown
S06206	1972-074A	Cosmos 521	1972 Sep 29	1973?	1973?	1973?	-	DS-P1-M	-	-	-	D	TARG	U	-	-	SU	A/AC.105/INF.263	-	974	1030	65.8	1972 Oct  4	975	1009	65.83	-
S06208	1972-075A	Molniya 2	1972 Sep 30	1973 Mar 15	1973 Mar 15	1973 Mar 15	-	Molniya-2	-	-	M	D	COM	U	-	-	SU	A/AC.105/INF.263	-	480	39200	65.3	1973 Mar 17	668	39689	65.52	-
S06212	1972-076A	-	1972 Oct  2	1972 Oct  2	1972 Oct  2	1972 Oct  2	-	STP1	-	-	-	D	CAL	U	-	-	US	A/AC.105/INF.266	99.5	729	749	98.4	1972 Oct  5	729	747	98.44	-
S06217	1972-076B	-	1972 Oct  2	1973 May	1973 May	1973 May	-	STP1	-	-	-	C	AST	U	-	GRA*	US	A/AC.105/INF.266	99.5	729	751	99.5	1972 Oct  5	730	751	98.45	Gamma ray background
S06219	1972-077A	Cosmos 522	1972 Oct  4	1972 Oct 17	1972 Oct 17	1972 Oct 17 0656?	-	Zenit-4M	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.263	-	214	342	72.9	1972 Oct 17	180	363	72.81	-
S06222	1972-078A	Cosmos 523	1972 Oct  5	1973 Feb 21	1973 Feb 21	1973 Feb 21	-	DS-P1-Yu A	-	-	-	D	CAL	U	-	-	SU	A/AC.105/INF.263	-	283	507	71.0	1972 Oct  8	269	481	71.04	-
S06227	1972-079A	-	1972 Oct 10	1973 Jan  8	1973 Jan  8	1973 Jan  8	-	Hex I	-	-	M	D	IMG	U	-	-	US	A/AC.105/INF.266	88.7	159	268	96.4	1973 Jan  8	120	332	96.35	-
S06229	1972-080A	Cosmos 524	1972 Oct 11	1973 Mar 25	1973 Mar 25	1973 Mar 25	-	DS-P1-Yu A	-	-	-	D	CAL	U	-	-	SU	A/AC.105/INF.263	-	277	537	71.0	1972 Oct 15	265	507	71.00	-
S06231	1972-081A	Molniya 1	1972 Oct 14	1974 Nov?	1974 Nov?	1974 Nov?	-	Molniya-1	-	-	M	D	COM	U	-	-	SU	A/AC.105/INF.263	-	480	39300	65.3	1974 Nov 12	291	40052	65.89	-
S06235	1972-082A	[NOAA 2]	1972 Oct 15	2023 Jan	1975 Jan 10	*	Z	ITOS	-	-	-	C	MET	U	-	-	US	A/AC.105/INF.266	114.9	1451	1458	101.7	1972 Oct 19	1448	1458	101.77	-
S06236	1972-082B	[Oscar 6]	1972 Oct 15	1977 Jun 21	1977 Jun 21	1977 Jun 21	-	AMSAT A	-	-	-	A	COM	U	-	-	US	A/AC.105/INF.266	114.9	1451	1456	101.7	1972 Oct 19	1449	1456	101.76	-
S06248	1972-083A	Cosmos 525	1972 Oct 18	1972 Oct 29	1972 Oct 29	1972 Oct 29 0517?	-	Zenit-2M	-	-	D	D	IMG	U	-	-	SU	A/AC.105/INF.263	-	208	292	65.4	1972 Oct 28	198	259	65.38	-
S06254	1972-084A	Cosmos 526	1972 Oct 25	1973 Apr  6	1973 Apr  6	1973 Apr  6	-	DS-P1-Yu A	-	-	-	D	CAL	U	-	-	SU	A/AC.105/INF.263	-	282	511	71.0	1972 Oct 27	270	484	70.98	-
S06256	1972-085A	Meteor	1972 Oct 26	1974 Jul  9	1974 Jul  9	1974 Jul  9	-	Meteor C	-	-	-	D	MET	U	-	-	SU	A/AC.105/INF.263	-	893	904	81.2	1972 Oct 31	865	890	81.27	-
S06258	1972-083C	Kapsula Kosmosa-525	1972 Oct 18	1972 Oct 26	1972 Oct 26	1972 Oct 26	-	Nauka 16KS	-	-	-	C	SCI?	U	-	P	-	-	-	-	-	-	1972 Oct 28	190	249	65.39	Unknown
S06260	1972-086A	Cosmos 527	1972 Oct 31	1972 Nov 13	1972 Nov 13	1972 Nov 13 0711?	-	Zenit-4MK	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.268	-	214	330	65.4	1972 Nov 13	-157	238	65.39	-
S06262	1972-087A	Cosmos 528	1972 Nov  1	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.268	-	1375	1495	74.0	1972 Nov  3	1367	1468	74.03	-
S06264	1972-087B	Cosmos 529	1972 Nov  1	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.268	-	1375	1495	74.0	1972 Nov  4	1403	1468	74.03	-
S06265	1972-087C	Cosmos 530	1972 Nov  1	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.268	-	1375	1495	74.0	1972 Nov  3	1334	1467	74.03	-
S06266	1972-087D	Cosmos 531	1972 Nov  1	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.268	-	1375	1495	74.0	1972 Nov  3	1422	1469	74.04	-
S06267	1972-087E	Cosmos 532	1972 Nov  1	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.268	-	1375	1495	74.0	1972 Nov  3	1301	1468	74.04	-
S06268	1972-087F	Cosmos 533	1972 Nov  1	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.268	-	1375	1495	74.0	1972 Nov  3	1317	1468	74.03	-
S06269	1972-087G	Cosmos 534	1972 Nov  1	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.268	-	1375	1495	74.0	1972 Nov  5	1350	1468	74.03	-
S06270	1972-087H	Cosmos 535	1972 Nov  1	1973?	1973?	1973?	-	Strela-1M	A	-	-	D	COM	U	-	-	SU	A/AC.105/INF.268	-	1375	1495	74.0	1972 Nov  7	1385	1469	74.03	-
S06272	1972-088A	Cosmos 536	1972 Nov  3	1973?	1973?	1973?	-	Tselina-OM	-	-	-	D	SIG	U	-	-	SU	A/AC.105/INF.268	-	514	555	74.0	1972 Nov  8	516	542	74.01	-
S06275	1972-089A	-	1972 Nov  9	1975 May 31	1975 May 31	1975 May 31	-	DMSP 5B	-	-	-	D	MET	U	-	-	US	A/AC.105/INF.267	101.7	812	872	98.6	1972 Nov 12	811	870	98.64	-
S06278	1972-090A	Anik I	1972 Nov 10	1982 Jul 15	1982 Jul 15	1982 Jul 15	-	Anik A	-	-	M	B	COM	U	-	-	CA	A/AC.105/INF.284	1436.0	35780	35791	0.1	1982 Jul 27	36136	36252	1.62	-
S06282	1972-091A	[SAS 2]	1972 Nov 15	1973 Jun  8	1973 Jun  8	1973 Jun  8	-	SAS	-	-	-	C	AST	U	-	GRA*	US	A/AC.105/INF.267	95.4	444	631	1.9	1972 Nov 20	432	620	1.89	Gamma ray telescope
S06285	1972-092A	ESRO-IV	1972 Nov 22	1974 Apr 15	1974 Apr 15	1974 Apr 15	-	ESRO	-	-	-	C	SCI	U	-	AUR/P*	F*	A/AC.105/INF.264	98.4	280	1100	90.8	1972 Nov 24	245	1166	91.10	Ionosphere/aurora
S06287	1972-093A	Cosmos 537	1972 Nov 25	1972 Dec  7	1972 Dec  7	1972 Dec  7 0457?	-	Zenit-2M	-	-	D	D	IMG	U	-	-	SU	A/AC.105/INF.268	-	207	324	65.0	1972 Dec  7	199	293	64.94	-
S06291	1972-094A	Intercosmos 8	1972 Nov 30	1973 Feb  1	1973 Feb  1	1973 Feb  1	-	DS-U1-IK	-	-	-	C	SCI	U	-	ION/P*	SU	A/AC.105/INF.268	-	214	679	71.0	1972 Dec  4	202	644	71.00	Ionosphere beacon
S06294	1972-095A	Molniya 1	1972 Dec  2	1974 Jun?	1974 Jun?	1974 Jun?	-	Molniya-1	-	-	M	D	COM	U	-	-	SU	A/AC.105/INF.268	-	500	39100	65.0	1974 Jun  7	381	39976	65.10	-
S06300	1972-096A	[Apollo 17]	1972 Dec  7	1972 Dec 19	1972 Dec 19	1972 Dec 19	-	Apollo II	-	-	M	C	SS	U	-	BIO/UVA/PL	US	A/AC.105/INF.269	-	-	-	-	1972 Dec 19	37	473433	66.53	"Lunar remote sensing, Apollo 17"
S06301	1972-096B	S-IVB	1972 Dec  7	1972 Dec  7	1972 Dec  7	1972 Dec  7	-	Saturn V	-	-	-	C	TECH	U	-	-	[US]	-	-	-	-	-	1972 Dec  7	68	424170	28.42	-
S06305	1972-097A	[Nimbus 5]	1972 Dec 11	1983 Apr  1	1983 Apr  1	1983 Apr  1	-	Nimbus	-	-	-	C	MET	U	-	-	US	A/AC.105/INF.269	107.2	1093	1105	99.9	1972 Dec 15	1092	1103	99.95	-
S06307	1972-096C	-	1972 Dec  7	1972 Dec 14	1972 Dec 14	1972 Dec 14 2254	-	LM AS	-	-	M	C	SS	U	-	PL	US	A/AC.105/INF.269	-	-	-	-	-	0	0	0.00	"Lunar geology, Apollo 17"
S06308	1972-098A	Molniya 2	1972 Dec 12	1974 Aug 19	1974 Aug 19	1974 Aug 19	-	Molniya-2	-	-	M	D	COM	U	-	-	SU	A/AC.105/INF.268	-	470	39300	65.3	1974 Sep  3	217	39969	65.60	-
S06311	1972-099A	Cosmos 538	1972 Dec 14	1972 Dec 27	1972 Dec 27	1972 Dec 27 0712?	-	Zenit-4M	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.268	-	212	305	65.4	1972 Dec 27	-161	237	65.40	-
S06315	1972-100A	[Aeros]	1972 Dec 16	1973 Aug 22	1973 Aug 22	1973 Aug 22	-	GRS	-	-	-	C	SCI	S	GSOC	ATM/P*	US*	A/AC.105/INF.269	95.3	222	854	96.9	1972 Dec 20	220	862	96.95	"Aeronomy, solar EUV, ionosphere"
S06317	1972-101A	-	1972 Dec 20	1974?	1980?	1980?	-	CANYON	-	-	M	D	SIG	U	-	-	US	A/AC.105/INF.269	1440.4	31012	40728	9.7	2010 Jan  1	30197	41401	20.33	-
S06319	1972-102A	Cosmos 539	1972 Dec 21	1974?	1974?	1974?	-	Sfera	-	-	-	D	GEOD	U	-	GEOD	SU	A/AC.105/INF.268	-	1353	1392	74.0	1972 Dec 25	1342	1380	74.01	Operational geodesy
S06321	1972-103A	-	1972 Dec 21	1973 Jan 23	1973 Jan 23	1973 Jan 23	-	KH8D	-	-	M	D	IMG	U	-	-	US	A/AC.105/INF.269	89.8	140	391	110.4	1973 Jan 21	126	387	110.38	-
S06323	1972-104A	Cosmos 540	1972 Dec 25	1974?	1974?	1974?	-	Strela-2M	-	-	-	D	COM	U	-	-	SU	A/AC.105/INF.268	-	779	823	74.0	1972 Dec 29	779	808	74.07	-
S06326	1972-105A	Cosmos 541	1972 Dec 27	1973 Jan  8	1973 Jan  8	1973 Jan  8 0649?	-	Orion	-	-	D	D	IMG	U	-	-	SU	A/AC.105/INF.268	-	242	371	81.4	1973 Jan  8	-135	254	81.32	-
S06328	1972-106A	Cosmos 542	1972 Dec 28	1973?	1973?	1973?	-	Tselina-D1	-	-	-	D	SIG	U	-	-	SU	A/AC.105/INF.268	-	554	653	81.2	1972 Dec 30	525	639	81.22	-
S06333	1973-001A	Luna 21	1973 Jan  8	1973 Jan 16	1973 Jan 16	1973 Jan 16	-	E-8	-	-	M	C	PLAN	U	-	PL	SU	A/AC.105/INF.268	-	-	-	-	1973 Jan  8	193	240	51.56	Lunar lander
S06339	1973-002A	Cosmos 543	1973 Jan 11	1973 Jan 24	1973 Jan 24	1973 Jan 25 0559?	-	Zenit-4M	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.268	-	211	333	65.0	1973 Jan 25	-180	206	64.97	-
S06342	1972-105F	KBE	1972 Dec 27	1973 Jan  8	1973 Jan  8	1973 Jan  8 0616?	-	Cap B	-	-	-	D	TECH	U	-	-	[SU]	-	-	-	-	-	1973 Jan 14	219	321	81.34	-
S06343	1973-003A	Cosmos 544	1973 Jan 20	1973?	1973?	1973?	-	Tselina-OM	-	-	-	D	SIG	U	-	-	SU	A/AC.105/INF.268	-	513	561	74.0	1973 Jan 23	508	546	74.02	-
S06348	1973-004A	Cosmos 545	1973 Jan 24	1973 Jul 31	1973 Jul 31	1973 Jul 31	-	DS-P1-Yu A	-	-	-	D	CAL	U	-	-	SU	A/AC.105/INF.271	-	279	521	71.0	1973 Jan 27	269	490	71.01	-
S06350	1973-005A	Cosmos 546	1973 Jan 26	1973 Jan	1973 Jan	1973 Jan	-	Tsiklon A2	-	-	-	D	NAV	U	-	-	SU	A/AC.105/INF.271	-	585	630	51.7	1973 Jan 29	576	612	50.66	-
S06353	1973-006A	Cosmos 547	1973 Feb  1	1973 Feb 13	1973 Feb 13	1973 Feb 13 0427?	-	Zenit-2M	-	-	D	D	IMG	U	-	-	SU	A/AC.105/INF.271	-	208	330	65.0	1973 Feb 13	202	298	64.94	-
S06356	1973-007A	Molniya 1	1973 Feb  3	1974?	1974?	1974?	-	Molniya-1	-	-	M	D	COM	U	-	-	SU	A/AC.105/INF.271	-	470	39200	65.0	1974 Jan  2	959	39391	65.13	-
S06359	1973-008A	Cosmos 548	1973 Feb  8	1973 Feb 21	1973 Feb 21	1973 Feb 21 0641?	-	Zenit-4M	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.271	-	214	322	65.4	1973 Feb 21	-165	218	65.40	-
S06364	1973-009A	Prognoz 3	1973 Feb 15	1974 Mar 26	1974 Mar 26	1974 Mar 26	-	SO-M	-	-	-	C	SCI/AST	U	-	SX/P*	SU	A/AC.105/INF.271	-	590	200000	65.0	1976 Jul  6	895	199442	65.00	Solar-terrestrial study
S06373	1973-010A	Cosmos 549	1973 Feb 28	1973?	1973?	1973?	-	Tselina-OM	-	-	-	D	SIG	U	-	-	SU	A/AC.105/INF.271	-	513	556	74.0	1973 Mar  2	511	544	74.02	-
S06376	1973-011A	Cosmos 550	1973 Mar  1	1973 Mar 11	1973 Mar 11	1973 Mar 11 0648?	-	Zenit-4MK	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.271	-	217	325	65.4	1973 Mar 11	-182	228	65.42	-
S06378	1973-012A	Cosmos 551	1973 Mar  6	1973 Mar 20	1973 Mar 20	1973 Mar 20 0519?	-	Zenit-4M	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.271	-	210	316	65.0	1973 Mar 20	169	384	64.98	-
S06380	1973-013A	-	1973 Mar  6	1980?	1983?	1983?	-	RHYOLITE	-	-	M	D	SIG	U	-	-	US	A/AC.105/INF.273	1435.0	35855	36679	0.2	2003 Feb 27	35819	35819	14.07	-
S06382	1973-014A	-	1973 Mar  9	1973 May 19	1973 May 19	1973 May 19	-	Hex I	-	-	M	D	IMG	U	-	-	US	A/AC.105/INF.273	88.6	152	263	95.7	1973 May 18	143	220	95.67	-
S06392	1973-015A	Meteor	1973 Mar 20	1974 Apr 24	1974 Apr 24	1974 Apr 24	-	Meteor C	-	-	-	D	MET	U	-	-	SU	A/AC.105/INF.272	-	882	903	81.2	1973 Mar 30	872	889	81.25	-
S06394	1973-016A	Cosmos 552	1973 Mar 22	1973 Apr  3	1973 Apr  3	1973 Apr  3 0600?	-	Zenit-2M	-	-	D	D	IMG	U	-	-	SU	A/AC.105/INF.272	-	211	337	72.9	1973 Apr  2	200	298	72.84	-
S06397	1973-016C	Kapsula Kosmosa-552	1973 Mar 22	1973 Mar 26	1973 Mar 26	1973 Mar 26	-	Nauka 16KS	-	-	-	D	TECH?	U	-	-	-	-	-	-	-	-	1973 Mar 28	193	296	72.85	-
S06398	1973-017A	Salyut 2	1973 Apr  3	1973 Apr 16	1973 Apr 16	1973 Apr 16	-	Almaz	-	-	M	D	SS	U	-	-	SU	A/AC.105/INF.272	-	215	260	51.6	1973 Apr 18	251	274	51.57	-
S06418	1973-018A	Molniya 2	1973 Apr  5	1975 Nov 26	1975 Nov 26	1975 Nov 26	-	Molniya-2	-	-	M	D	COM	U	-	-	SU	A/AC.105/INF.272	-	200	39100	65.0	1975 Dec  8	1395	38949	65.54	-
S06421	1973-019A	[Pioneer 11]	1973 Apr  6	1995 Nov	1995 Nov	1995 Nov	-	Pioneer J	-	-	M	C	PLAN	U	-	PL	US	A/AC.105/INF.275	-	-	-	-	-	0	0	0.00	Jupiter/Saturn flybys
S06427	1973-020A	Cosmos 553	1973 Apr 12	1973 Nov 11	1973 Nov 11	1973 Nov 11	-	DS-P1-Yu A	-	-	-	D	CAL	U	-	-	SU	A/AC.105/INF.272	-	282	519	71.0	1973 Apr 17	270	488	70.97	-
S06432	1973-021A	Cosmos 554	1973 Apr 19	1973 May  7	1973 May  7	1973 May  7	-	Zenit-4MK	-	-	M	D	IMG	F	-	-	SU	A/AC.105/INF.272	-	212	318	72.9	1973 May 13	205	329	72.78	-
S06433	1973-022A	Intercosmos C-500	1973 Apr 19	1973 Oct 15	1973 Oct 15	1973 Oct 15	-	DS-U2-IK	-	-	-	C	SCI	U	-	P/RFA*	SU	A/AC.105/INF.272	-	202	1551	48.5	1973 Apr 28	200	1478	48.40	Solar radio bursts
S06437	1973-023A	Anik II	1973 Apr 20	1982 Oct 29	1982 Oct 29	1982 Oct 29	-	Anik A	-	-	M	B	COM	U	-	-	CA	A/AC.105/INF.284	1430.7	35604	35709	0.1	1982 Nov  7	35880	35955	0.40	-
S06440	1973-024A	Cosmos 555	1973 Apr 25	1973 May  7	1973 May  7	1973 May  7 0726?	-	Zenit-2M	-	-	D	D	IMG	U	-	-	SU	A/AC.105/INF.272	-	216	253	81.3	1973 May  6	205	217	81.33	-
S06445	1973-024D	Kapsula Kosmosa-555	1973 Apr 25	1973 May  4	1973 May  4	1973 May  4	-	Nauka 14KS	-	-	-	C	SCI	U	-	P/ATM	-	-	-	-	-	-	1973 May  6	192	204	81.33	"Particles, IR radiometer"
S06446	1973-025A	Cosmos 556	1973 May  5	1973 May 14	1973 May 14	1973 May 14 0518?	-	Zenit-4MK	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.274	-	209	252	81.3	1973 May 14	-195	200	81.31	-
S06498	1973-026A	Cosmos 557	1973 May 11	1973 May 11	1973 May 11	1973 May 11	-	DOS	-	-	M	C	SS	F	-	P	SU	A/AC.105/INF.274	-	218	266	51.6	1973 May 14	208	237	51.59	Space station
S06633	1973-027A	[Skylab 1]	1973 May 14	1979 Jun 11	1979 Jun 11	1979 Jun 11	-	Saturn V	-	-	M	C	SS	S	-	ATM/BIO	US	A/AC.105/INF.278	93.2	424	440	50.0	1979 Jun 13	266	277	50.03	Space station
S06640	1973-028A	-	1973 May 16	1973 Jun 13	1973 Jun 13	1973 Jun 13	-	KH8D	-	-	M	D	IMG	U	-	-	US	A/AC.105/INF.278	89.8	134	397	110.4	1973 Jun 13	137	391	110.49	-
S06645	1973-029A	Cosmos 558	1973 May 17	1973 Dec 22	1973 Dec 22	1973 Dec 22	-	DS-P1-Yu A	-	-	-	D	CAL	U	-	-	SU	A/AC.105/INF.274	-	279	526	71.0	1973 May 21	267	497	70.98	-
S06647	1973-030A	Cosmos 559	1973 May 18	1973 May 23	1973 May 23	1973 May 23 0610?	-	Zenit-4MK	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.274	-	217	345	65.4	1973 May 23	-175	260	65.41	-
S06652	1973-031A	Cosmos 560	1973 May 23	1973 Jun  5	1973 Jun  5	1973 Jun  5 0433?	-	Zenit-4M	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.274	-	211	336	72.9	1973 Jun  5	-162	220	72.84	-
S06655	1973-032A	[Skylab 2]	1973 May 25	1973 Jun 22	1973 Jun 22	1973 Jun 22 1349	-	Apollo II	-	-	M	C	SS	U	-	BIO	US	A/AC.105/INF.278	93.2	424	440	50.0	1973 Jun 22	-16	422	50.04	Station ferry
S06656	1973-032B	S-IVB	1973 May 25	1973 May 25	1973 May 25	1973 May 25	-	Saturn IB	-	-	-	C	TECH	U	-	-	[US]	-	-	-	-	-	1973 May 25	150	352	50.03	-
S06657	1973-033A	Cosmos 561	1973 May 25	1973 Jun  6	1973 Jun  6	1973 Jun  6 0558?	-	Zenit-2M	-	-	D	D	IMG	U	-	-	SU	A/AC.105/INF.274	-	215	317	65.4	1973 Jun  6	202	284	65.41	-
S06659	1973-034A	Meteor	1973 May 29	1974 Feb 12	1974 Feb 12	1974 Feb 12	-	Meteor C	-	-	-	D	MET	U	-	-	SU	A/AC.105/INF.274	-	867	909	81.2	1973 Jun 13	850	895	81.22	-
S06662	1973-033D	Kapsula Kosmosa-561	1973 May 25	1973 Jun  3	1973 Jun  3	1973 Jun  3	-	Nauka 9KS	-	-	-	D	AST	U	-	GRA	-	-	-	-	-	-	1973 Jun  5	201	277	65.41	Gamma ray detector?
S06665	1973-035A	Cosmos 562	1973 Jun  5	1974 Jan  7	1974 Jan  7	1974 Jan  7	-	DS-P1-Yu A	-	-	-	D	CAL	U	-	-	SU	A/AC.105/INF.274	-	282	510	71.0	1973 Jun 14	269	479	70.99	-
S06667	1973-036A	Cosmos 563	1973 Jun  6	1973 Jun 18	1973 Jun 18	1973 Jun 18 0505?	-	Zenit-4M	-	-	M	D	IMG	U	-	-	SU	A/AC.105/INF.274	-	213	320	65.4	1973 Jun 18	-185	228	65.41	-
